#,Custom Panel (X),SOMAmer SeqID,Target Name,Human Target or Analyte,UniProt ID,GeneID,Cardiovascular Disease,Inflammation and Immune Response,Metabolic Disease,Oncology,Combine Immune and Metabolic,Previous association with age,Previous association with Sex,Drug Targets,Bone Related or of interest,NIHM Supplemental Data,Aging and Longevity pQTLs,Rat and Human Cytokine/Chemokine Luminex,Known of Interest,Inflammatory Serum Protein Profiling of Patients,Count for Custom Panel,
3909,,2211-9,TIMP-1,Metalloproteinase inhibitor 1,P01033,TIMP1,,,,,,X,,,,,,,X,,X,
3910,,23173-3,TIMP-1,Metalloproteinase inhibitor 1,P01033,TIMP1,X,X,X,,X,,,,,,,,,,X,
3911,,25967-34,TIMP-1,Metalloproteinase inhibitor 1,P01033,TIMP1,,,,,,,,,,,,,,,,
3912,,2278-61,TIMP-2,Metalloproteinase inhibitor 2,P16035,TIMP2,X,,X,,,,,,,X,,,X,,X,
3913,,2480-58,TIMP-3,Metalloproteinase inhibitor 3,P35625,TIMP3,,X,,,,,,,,X,,,X,,X,
3914,,6462-12,TIMP-4,Metalloproteinase inhibitor 4,Q99727,TIMP4,X,,,,,,,,,,,,,,,
3915,,6606-61,KISS1,Metastasis-suppressor KiSS-1,Q15726,KISS1,,,,X,,,,,,,,,,,,
3916,,8839-4,Metaxin-2,Metaxin-2,O75431,MTX2,,,,,,,,,,,,,,,,
3917,,21705-33,METRL,Meteorin-like protein,Q641Q3,METRNL,,,X,,,,,,,,,,,,,
3918,,19129-15,MTHFSD,Methenyltetrahydrofolate synthase domain-containing protein,Q2M296,MTHFSD,,,,,,,,,,,,,,,,
3919,,18392-19,MAT2B,Methionine adenosyltransferase 2 subunit beta,Q9NZL9,MAT2B,,,,,,,,,,,,,,,,
3920,,3210-1,METAP1,Methionine aminopeptidase 1,P53582,METAP1,,,,,,,,,,X,,,X,,X,
3921,,19752-197,AMP1D,"Methionine aminopeptidase 1D, mitochondrial",Q6UB28,METAP1D,,,,,,,,,,,,,,,,
3922,,3170-6,AMPM2,Methionine aminopeptidase 2,P50579,METAP2,,,,,,,,,,,,,,,,
3923,,20971-1,MSRB1,Methionine-R-sulfoxide reductase B1,Q9NZV6,MSRB1,,,,,,,,,,,,,,,,
3924,,16877-19,MSRB2,"Methionine-R-sulfoxide reductase B2, mitochondrial",Q9Y3D2,MSRB2,,,,,,,,,,,,,,,,
3925,,7824-88,MSRB3,Methionine-R-sulfoxide reductase B3,Q8IXL7,MSRB3,,,,,,,,,,,,,,,,
3926,,24425-8,SYMC,"Methionyl-tRNA synthetase, cytoplasmic",P56192,MARS1,,,,,,,,,,,,,,,,
3927,,21437-77,MGMT,Methylated-DNA--protein-cysteine methyltransferase,P16455,MGMT,,X,,X,,,,,,,,,,,,
3928,,14294-61,MBD1,Methyl-CpG-binding domain protein 1,Q9UIS9,MBD1,,,,,,,,,,,,,,,,
3929,,3891-56,MBD4,Methyl-CpG-binding domain protein 4,O95243,MBD4,,,,,,,,,,X,,,X,,X,
3930,,19108-50,MECP2,Methyl-CpG-binding protein 2,P51608,MECP2,,X,,,,,,,,,,,,,,
3931,,20931-156,AUHM,"Methylglutaconyl-CoA hydratase, mitochondrial",Q13825,AUH,,,X,,,,,,,,,,,,,
3932,,19136-22,MMSA,"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial",Q02252,ALDH6A1,X,,X,,,,,,,,,,,,,
3933,,20953-34,MMAC,Methylmalonic aciduria and homocystinuria type C protein,Q9Y4U1,MMACHC,X,,X,,,,,,,,,,,,,
3934,,21814-13,MMAD,"Methylmalonic aciduria and homocystinuria type D protein, mitochondrial",Q9H3L0,MMADHC,,,X,,,,,,,,,,,,,
3935,,9388-18,MCEE,"Methylmalonyl-CoA epimerase, mitochondrial",Q96PE7,MCEE,,,X,,,,,,,,,,,,,
3936,,23340-37,MTNA,Methylthioribose-1-phosphate isomerase,Q9BV20,MRI1,,,,,,,,,,,,,,,,
3937,,25236-11,MTL26,Methyltransferase-like 26,Q96S19,METTL26,,,,,,,,,,,,,,,,
3938,,9470-15,MET24,Methyltransferase-like protein 24,Q5JXM2,METTL24,,,,,,,,,,,,,,,,
3939,,23558-33,MET2B,Methyltransferase-like protein 2B,Q6P1Q9,METTL2B,,,,,,,,,,,,,,,,
3940,,11391-69,MVK,Mevalonate kinase,Q03426,MVK,,X,X,,X,,,,,,,,,,X,
3941,,2730-58,MICA,MHC class I polypeptide-related sequence A,Q29983,MICA,X,X,,X,,,,,,,,,,,,
3942,,5102-55,MICB,MHC class I polypeptide-related sequence B,Q29980,MICB,,X,,,,,,,,,,,,,,
3943,,9328-55,MICB,MHC class I polypeptide-related sequence B,Q29980,MICB,,,,,,,,,,,,,,,,
3944,,24973-11,MILK1,MICAL-like protein 1,Q8N3F8,MICALL1,,,,,,,,,,,,,,,,
3945,,12891-1,MILK2,MICAL-like protein 2,Q8IY33,MICALL2,,,,,,,,,,,,,,,,
3946,,7956-11,MOS1,MICOS complex subunit MIC10,Q5TGZ0,MICOS10,,,,,,,,,,,,,,,,
3947,,20545-17,MFAP3,Microfibril-associated glycoprotein 3,P55082,MFAP3,,,,,,,,,,,,,,,,
3948,,5636-10,MFAP4,Microfibril-associated glycoprotein 4,P55083,MFAP4,,,,,,,,,,,,,,,,
3949,,5606-24,MFAP1,Microfibrillar-associated protein 1,P55081,MFAP1,,,,,,,,,,,,,,,,
3950,,10569-28,MFAP2,Microfibrillar-associated protein 2,P55001,MFAP2,,,,,,,,,,,,,,,,
3951,,9294-45,MFAP2,Microfibrillar-associated protein 2,P55001,MFAP2,,,,,,,,,,,,,,,,
3952,,8837-8,MFA3L,Microfibrillar-associated protein 3-like,O75121,MFAP3L,,,,,,,,,,,,,,,,
3953,,6440-31,MFAP5,Microfibrillar-associated protein 5,Q13361,MFAP5,X,,X,,,,,,,,,,,,,
3954,,12469-19,MARE1,Microtubule-associated protein RP/EB family member 1,Q15691,MAPRE1,X,,,,,,,,,,,,,,,
3955,,19371-18,MARE1,Microtubule-associated protein RP/EB family member 1,Q15691,MAPRE1,,,,,,,,,,,,,,,,
3956,,16856-79,MARE2,Microtubule-associated protein RP/EB family member 2,Q15555,MAPRE2,,,,,,,,,,,,,,,,
3957,,16885-49,MARE3,Microtubule-associated protein RP/EB family member 3,Q9UPY8,MAPRE3,,,,,,,,,,,,,,,,
3958,,22992-6,MARE3,Microtubule-associated protein RP/EB family member 3,Q9UPY8,MAPRE3,,,,,,,,,,,,,,,,
3959,,5854-60,tau,Microtubule-associated protein tau,P10636,MAPT,X,,X,,,,,,,X,,,X,,X,
3960,,20965-18,MP3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,A6NCE7,MAP1LC3B2,,,,,,,,,,,,,,,,
3961,,17781-191,MLP3A,Microtubule-associated proteins 1A/1B light chain 3A,Q9H492,MAP1LC3A,,,,,,,,,,,,,,,,
3962,,11608-5,MLP3B,Microtubule-associated proteins 1A/1B light chain 3B,Q9GZQ8,MAP1LC3B,,,,,,,,,,,,,,,,
3963,,24675-2,MAST4,Microtubule-associated serine/threonine-protein kinase 4,O15021,MAST4,,,,,,,,,,,,,,,,
3964,,24710-1,MTUS2,Microtubule-associated tumor suppressor candidate 2,Q5JR59,MTUS2,,,,,,,,,,,,,,,,
3965,,2911-27,Midkine,Midkine,P21741,MDK,,,,X,,,,,,X,,,X,,X,
3966,,17224-12,MIME,Mimecan,P20774,OGN,,,,,,,,,,,,,,,,
3967,,21120-3,MIMIT,"Mimitin, mitochondrial",Q8N183,NDUFAF2,,,X,,,,,,,,,,,,,
3968,,12931-16,MCR,Mineralocorticoid receptor,P08235,NR3C2,X,,,,,,,,,,,,,,,
3969,,11312-40,PMS2,Mismatch repair endonuclease PMS2,P54278,PMS2,,,X,X,,,,,,,,,,,,
3970,,23266-62,MITD1,MIT domain-containing protein 1,Q8WV92,MITD1,,,,,,,,,,,,,,,,
3971,,22383-21,MITF,MITF,O75030,MITF,,,X,X,,,,,,,,,,,,
3972,,8032-23,MCCD1,Mitochondrial coiled-coil domain protein 1,P59942,MCCD1,,,,,,,,,,,,,,,,
3973,,23668-281,MID51,Mitochondrial dynamics protein MID51,Q9NQG6,MIEF1,,,,,,,,,,,,,,,,
3974,,17746-77,FIS1,Mitochondrial fission 1 protein,Q9Y3D6,FIS1,,,X,,,,,,,,,,,,,
3975,,9095-5,MTFR1,Mitochondrial fission regulator 1,Q15390,MTFR1,,,,,,,,,,,,,,,,
3976,,5280-68,GHC2,Mitochondrial glutamate carrier 2,Q9H1K4,SLC25A18,,,,,,,,,,X,,,X,,X,
3977,,25215-1,TIM10,Mitochondrial import inner membrane translocase subunit Tim10,P62072,TIMM10,,,,,,,,,,,,,,,,
3978,,23241-27,T10B,Mitochondrial import inner membrane translocase subunit Tim10 B,Q9Y5J6,TIMM10B,,,,,,,,,,,,,,,,
3979,,23621-326,TIM13,Mitochondrial import inner membrane translocase subunit Tim13,Q9Y5L4,TIMM13,,,,,,,,,,,,,,,,
3980,,4545-53,DnaJ homolog,Mitochondrial import inner membrane translocase subunit TIM14,Q96DA6,DNAJC19,X,,X,,,,,,,X,,,X,,X,
3981,,9058-1,TIM21,Mitochondrial import inner membrane translocase subunit Tim21,Q9BVV7,TIMM21,,,,,,,,,,,,,,,,
3982,,22809-32,TIM23,Mitochondrial import inner membrane translocase subunit Tim23,O14925,TIMM23,,,,,,,,,,,,,,,,
3983,,7743-5,TIM50,Mitochondrial import inner membrane translocase subunit TIM50,Q3ZCQ8,TIMM50,,,,,,,,,,,,,,,,
3984,,19148-58,TIM8A,Mitochondrial import inner membrane translocase subunit Tim8 A,O60220,TIMM8A,,,,,,,,,,,,,,,,
3985,,20408-11,TOM20,Mitochondrial import receptor subunit TOM20 homolog,Q15388,TOMM20,,,,,,,,,,,,,,,,
3986,,22077-46,ATP23,Mitochondrial inner membrane protease ATP23 homolog,Q9Y6H3,ATP23,,,,,,,,,,,,,,,,
3987,,20389-36,IMP2L,Mitochondrial inner membrane protease subunit 2,Q96T52,IMMP2L,,X,,,,,,,,,,,,,,
3988,,7137-8,MSRA,Mitochondrial peptide methionine sulfoxide reductase,Q9UJ68,MSRA,,,,,,,,,,,,,,,,
3989,,23164-8,MPC1,Mitochondrial pyruvate carrier 1,Q9Y5U8,MPC1,,,,,,,,,,,,,,,,
3990,,21752-10,MIRO1,Mitochondrial Rho GTPase 1,Q8IXI2,RHOT1,,,,,,,,,,,,,,,,
3991,,11159-14,MUL1:CD,Mitochondrial ubiquitin ligase activator of NFKB 1:Cytoplasmic domain,Q969V5,MUL1,,,,,,,,,,,,,,,,
3992,,9315-16,MUL1:MIMD,Mitochondrial ubiquitin ligase activator of NFKB 1:Mitochindrial intermembrane domain,Q969V5,MUL1,,,,,,,,,,,,,,,,
3993,,24907-3,MPPA,Mitochondrial-processing peptidase subunit alpha,Q10713,PMPCA,,,,,,,,,,,,,,,,
3994,,11364-18,MFN1,Mitofusin-1,Q8IWA4,MFN1,,,X,,,,,,,,,,,,,
3995,,3115-64,MK01,Mitogen-activated protein kinase 1,P28482,MAPK1,X,X,X,X,X,,,,,,,,,,X,
3996,,15418-25,MK10,Mitogen-activated protein kinase 10,P53779,MAPK10,,,,,,,,,,,,,,,,
3997,,5004-69,MK11,Mitogen-activated protein kinase 11,Q15759,MAPK11,X,,,,,,,,,,,,,,,
3998,,5005-4,MK12,Mitogen-activated protein kinase 12,P53778,MAPK12,,,,,,,,,,X,,,X,,X,
3999,,5006-71,MK13,Mitogen-activated protein kinase 13,O15264,MAPK13,,,,,,,,,,,,,,,,
4000,,5007-1,MAPK14,Mitogen-activated protein kinase 14,Q16539,MAPK14,X,,,X,,,,,,X,,,X,,X,
4001,,2855-49,ERK-1,Mitogen-activated protein kinase 3,P27361,MAPK3,X,X,X,X,X,,,,,,,,,,X,
4002,,22858-3,MK06,Mitogen-activated protein kinase 6,Q16659,MAPK6,,,,,,,,,,,,,,,,
4003,,3825-18,MK08,Mitogen-activated protein kinase 8,P45983,MAPK8,X,X,,X,,,,,,,,,,,,
4004,,15604-18,JNK2,Mitogen-activated protein kinase 9,P45984,MAPK9,X,,,X,,,,,,X,,,X,,X,
4005,,22987-69,JNK2,Mitogen-activated protein kinase 9,P45984,MAPK9,,,,,,,,,,X,,,X,,X,
4006,,9760-13,JNK2,Mitogen-activated protein kinase 9,P45984,MAPK9,,,,,,,,,,X,,,X,,X,
4007,,23162-36,M3K10,Mitogen-activated protein kinase kinase kinase 10,Q02779,MAP3K10,,,,,,,,,,,,,,,,
4008,,21406-25,M3K11,Mitogen-activated protein kinase kinase kinase 11,Q16584,MAP3K11,,,,,,,,,,,,,,,,
4009,,12990-39,MAP3K3,Mitogen-activated protein kinase kinase kinase 3,Q99759,MAP3K3,,,,,,,,,,,,,,,,
4010,,21415-212,MAP3K3,Mitogen-activated protein kinase kinase kinase 3,Q99759,MAP3K3,,,,,,,,,,,,,,,,
4011,,5259-2,TAK1-TAB1,Mitogen-activated protein kinase kinase kinase 7:TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 fusion,O43318|Q15750,MAP3K7|TAB1,X,,,,,,,,,X,,,X,,X,
4012,,8954-30,M4K1,Mitogen-activated protein kinase kinase kinase kinase 1,Q92918,MAP4K1,,,,,,,,,,,,,,,,
4013,,8978-30,M4K3,Mitogen-activated protein kinase kinase kinase kinase 3,Q8IVH8,MAP4K3,,,,,,,,,,,,,,,,
4014,,21989-12,M4K5,Mitogen-activated protein kinase kinase kinase kinase 5,Q9Y4K4,MAP4K5,,,,,,,,,,,,,,,,
4015,,12033-3,BUB1,Mitotic checkpoint serine/threonine-protein kinase BUB1,O43683,BUB1,,,,,,,,,,,,,,,,
4016,,13618-15,MD1L1,Mitotic spindle assembly checkpoint protein MAD1,Q9Y6D9,MAD1L1,,X,,X,,,,,,,,,,,,
4017,,15313-28,MD2L1,Mitotic spindle assembly checkpoint protein MAD2A,Q13257,MAD2L1,,,,,,,,,,,,,,,,
4018,,23404-16,MD2L2,Mitotic spindle assembly checkpoint protein MAD2B,Q9UI95,MAD2L2,,,X,,,,,,,,,,,,,
4019,,24928-20,MZT2A,Mitotic-spindle organizing protein 2A,Q6P582,MZT2A,,,,,,,,,,,,,,,,
4020,,12426-19,MOL1B,MOB kinase activator 1A,Q9H8S9,MOB1A,,,,,,,,,,,,,,,,
4021,,19177-7,MOL1A,MOB kinase activator 1B,Q7L9L4,MOB1B,,,,,,,,,,,,,,,,
4022,,21815-7,MOB3B,MOB kinase activator 3B,Q86TA1,MOB3B,,,,,,,,,,,,,,,,
4023,,19332-1,MOBL3,MOB-like protein phocein,Q9Y3A3,MOB4,,,,,,,,,,,,,,,,
4024,,21327-12,MRI,Modulator of retrovirus infection homolog,Q9BWK5,CYREN,,,,,,,,,,,,,,,,
4025,,5009-11,Moesin,Moesin,P26038,MSN,X,X,X,,X,,,,,,,,,,X,
4026,,24419-3,MOCOS,Molybdenum cofactor sulfurase,Q96EN8,MOCOS,X,,X,,,,,,,,,,,,,
4027,,7881-244,PAR16,Mono [ADP-ribose] polymerase PARP16,Q8N5Y8,PARP16,,,,,,,,,,,,,,,,
4028,,7825-7,ABD12,Monoacylglycerol lipase ABHD12,Q8N2K0,ABHD12,,X,,,,,,,,,,,,,,
4029,,9049-2,MOT4,Monocarboxylate transporter 4,O15427,SLC16A3,,,,X,,,,,,,,,,,,
4030,,8969-49,CD14,Monocyte differentiation antigen CD14,P08571,CD14,,X,,,,,,,,,,,,,,X
4031,,16914-104,sCD14,"Monocyte differentiation antigen CD14, soluble",P08571,CD14,,,X,,,,,,,,,,,,,
4032,,21203-14,MR1L1,MORF4 family-associated protein 1-like 1,Q96HT8,MRFAP1L1,,,,,,,,,,,,,,,,
4033,,18193-165,MO4L1,Mortality factor 4-like protein 1,Q9UBU8,MORF4L1,,,,,,,,,,,,,,,,
4034,,24443-8,MO4L2,Mortality factor 4-like protein 2,Q15014,MORF4L2,,,,,,,,,,,,,,,,
4035,,9838-4,SMAD1,Mothers against decapentaplegic homolog 1,Q15797,SMAD1,X,,,,,,,,,,,,,,,
4036,,10364-6,SMAD2,Mothers against decapentaplegic homolog 2,Q15796,SMAD2,X,,X,,,,,,,X,,,X,,X,
4037,,11353-143,SMAD2,Mothers against decapentaplegic homolog 2,Q15796,SMAD2,,,,,,,,,,X,,,X,,X,
4038,,10363-13,SMAD3,Mothers against decapentaplegic homolog 3,P84022,SMAD3,X,X,,X,,,,,,X,,,X,,X,
4039,,12022-12,SMAD4,Mothers against decapentaplegic homolog 4,Q13485,SMAD4,X,X,,X,,,,,,,,,,,,
4040,,20382-8,MSPD1,Motile sperm domain-containing protein 1,Q9UJG1,MOSPD1,,,,,,,,,,,,,,,,
4041,,9576-58,MNX1,Motor neuron and pancreas homeobox protein 1,P50219,MNX1,,,X,,,,,,,,,,,,,
4042,,11548-84,MPIP1,M-phase inducer phosphatase 1,P30304,CDC25A,,,,,,,,,,,,,,,,
4043,,12427-8,MPIP2,M-phase inducer phosphatase 2,P30305,CDC25B,X,,,,,,,,,,,,,,,
4044,,21310-37,MRT4,mRNA turnover protein 4 homolog,Q9UKD2,MRTO4,,,,,,,,,,,,,,,,
4045,,12847-27,MCE1,mRNA-capping enzyme,O60942,RNGTT,,,,,,,,,,,,,,,,
4046,,20135-85,MCE1,mRNA-capping enzyme,O60942,RNGTT,,,,,,,,,,,,,,,,
4047,,14008-22,DCP1A,mRNA-decapping enzyme 1A,Q9NPI6,DCP1A,,,,,,,,,,,,,,,,
4048,,12715-30,DCP1B,mRNA-decapping enzyme 1B,Q8IZD4,DCP1B,,,,,,,,,,,,,,,,
4049,,23301-2,MSX-2,MSX-2,P35548,MSX2,,,,,,,,,,,,,,,,
4050,,24216-30,AAMDC,Mth938 domain-containing protein,Q9H7C9,AAMDC,,,,,,,,,,,,,,,,
4051,,25252-29,MTSSL,MTSS1-like protein,Q765P7,MTSS2,,,,,,,,,,,,,,,,
4052,,10623-19,MUC1:region 1,Mucin-1:region 1,P15941,MUC1,X,X,,X,,,,,,,,,,,,
4053,,9176-3,MUC1:region 2,Mucin-1:region 2,P15941,MUC1,X,X,,X,,,,,,,,,,,,
4054,,10976-44,MUC1:region 3,Mucin-1:region 3,P15941,MUC1,X,X,,X,,,,,,,,,,,,
4055,,15565-102,CA125,Mucin-16,Q8WXI7,MUC16,,X,,X,,,,,,,,,,,,
4056,,10975-59,MUCL1,Mucin-like protein 1,Q96DR8,MUCL1,,,,,,,,,,,,,,,,
4057,,25300-39,MALT1,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,Q9UDY8,MALT1,,X,X,,X,,,,,,,,,,X,
4058,,11258-41,MAdCAM-1,Mucosal addressin cell adhesion molecule 1,Q13477,MADCAM1,,,,,,,,,,,,,,,,
4059,,4923-79,MIS,Muellerian-inhibiting factor,P03971,AMH,,,,,,,,,,,,,,,,
4060,,8935-22,MRP6,Multidrug resistance-associated protein 6,O95255,ABCC6,X,,X,,,,,,,,,,,,,
4061,,9841-197,Multifunctional protein ADE2,Multifunctional protein ADE2,P22234,PAICS,,,,,,,,,,,,,,,,
4062,,9723-105,EMILIN-3,Multimerin-2,Q9H8L6,MMRN2,,,,,,,,,,,,,,,,
4063,,11168-3,MEG10,Multiple epidermal growth factor-like domains protein 10,Q96KG7,MEGF10,,,,,,,,,,,,,,,,
4064,,5586-66,MINP1,Multiple inositol polyphosphate phosphatase 1,Q9UNW1,MINPP1,,,,,,,,,,,,,,,,
4065,,14036-116,MPDZ,Multiple PDZ domain protein,O75970,MPDZ,,,,,,,,,,,,,,,,
4066,,23320-11,MB12B,Multivesicular body subunit 12B,Q9H7P6,MVB12B,,,,,,,,,,,,,,,,
4067,,11547-84,MUSK,"Muscle, skeletal receptor tyrosine-protein kinase",O15146,MUSK,,X,,,,,,,,,,,,,,
4068,,24408-30,MBNL1,Muscleblind-like protein 1,Q9NR56,MBNL1,,,,,,,,,,,,,,,,
4069,,24446-65,MBNL2,Muscleblind-like protein 2,Q5VZF2,MBNL2,,,,,,,,,,,,,,,,
4070,,25465-42,MLIP,Muscular LMNA-interacting protein,Q5VWP3,MLIP,,,,,,,,,,,,,,,,
4071,,23322-2,MUSC,Musculin,O60682,MSC,,,,,,,,,,,,,,,,
4072,,21545-51,MSTN1,Musculoskeletal embryonic nuclear protein 1,Q8IVN3,MUSTN1,,,,,,,,,,,,,,,,
4073,,25452-16,MSD2,Myb/SANT-like DNA-binding domain-containing protein 2,Q6P1R3,MSANTD2,,,,,,,,,,,,,,,,
4074,,9574-11,BIN1,Myc box-dependent-interacting protein 1,O00499,BIN1,,,,,,,,,,,,,,,,
4075,,10362-35,c-Myc,Myc proto-oncogene protein,P01106,MYC,X,X,,X,,,,,,,,,,,,
4076,,13541-1,MYCT1,Myc target protein 1,Q8N699,MYCT1,,,,,,,,,,,,,,,,
4077,,13436-54,MAZ,Myc-associated zinc finger protein,P56270,MAZ,,X,,,,,,,,,,,,,,
4078,,17370-186,ABHDA,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",Q9NUJ1,ABHD10,,,,,,,,,,,,,,,,
4079,,15422-12,MYP2,Myelin P2 protein,P02689,PMP2,,,,,,,,,,,,,,,,
4080,,10615-18,MYP0,Myelin protein P0,P25189,MPZ,,,,,,,,,,,,,,,,
4081,,16845-15,MPZL1,Myelin protein zero-like protein 1,O95297,MPZL1,,,,X,,,,,,,,,,,,
4082,,9372-157,MPZL2,Myelin protein zero-like protein 2,O60487,MPZL2,,,,,,,,,,,,,,,,
4083,,8843-34,MRF,Myelin regulatory factor,Q9Y2G1,MYRF,,,,,,,,,,,,,,,,
4084,,20579-50,MAG,Myelin-associated glycoprotein,P20916,MAG,,,,,,,,,,,,,,,,
4085,,15619-49,MOG,Myelin-oligodendrocyte glycoprotein,Q16653,MOG,,X,,,,,,,,,,,,,,
4086,,13720-95,Proteinase-3,Myeloblastin,P24158,PRTN3,,,,,,,,,,X,,,X,,X,
4087,,3514-49,Proteinase-3,Myeloblastin,P24158,PRTN3,X,X,,,,,,,,X,,,X,,X,
4088,,20076-7,MNDA,Myeloid cell nuclear differentiation antigen,P41218,MNDA,,,,,,,,,,,,,,,,
4089,,3166-92,Siglec-3,Myeloid cell surface antigen CD33,P20138,CD33,,,,,,,,,,,,,,,,
4090,,17820-170,MLF1,Myeloid leukemia factor 1,P58340,MLF1,,,,X,,,,,,,,,,,,
4091,,14662-6,MZF1,Myeloid zinc finger 1,P28698,MZF1,,,,,,,,,,,,,,,,
4092,,9248-36,CS010,Myeloid-derived growth factor,Q969H8,MYDGF,,,,,,,,,,,,,,,,
4093,,2580-83,Myeloperoxidase,Myeloperoxidase,P05164,MPO,X,X,X,X,X,,,,,X,,,X,,X,
4094,,13924-13,MYZAP,Myocardial zonula adherens protein,P0CAP1,MYZAP,,,,,,,,,,,,,,,,
4095,,9055-81,MYZAP,Myocardial zonula adherens protein,P0CAP1,MYZAP,,,,,,,,,,,,,,,,
4096,,9964-10,MYZAP,Myocardial zonula adherens protein,P0CAP1,MYZAP,,X,,,,,,,,,,,,,,
4097,,16558-2,MYOC,Myocilin,Q99972,MYOC,,,,,,,,,,,,,,,,
4098,,8933-84,MEF2C,Myocyte-specific enhancer factor 2C,Q06413,MEF2C,,,,,,,,,,,,,,,,
4099,,24266-2,MEF2D,Myocyte-specific enhancer factor 2D,Q14814,MEF2D,,,,,,,,,,,,,,,,
4100,,3042-7,Myoglobin,Myoglobin,P02144,MB,,,,,,,X,,,X,,,X,,X,
4101,,13534-20,MYOM2,Myomesin-2,P54296,MYOM2,,,,,,,,,,,,,,,,
4102,,13966-30,MYOM3,Myomesin-3,Q5VTT5,MYOM3,,,,,,,,,,,,,,,,
4103,,12455-48,MYNN,Myoneurin,Q9NPC7,MYNN,,,,,,,,,,,,,,,,
4104,,18376-19,Myosin light chain 1,Myosin light chain 3,P08590,MYL3,X,,,,,,,,,,,,,,,
4105,,19286-30,MLR5,Myosin light chain 5,Q02045,MYL5,,,,,,,,,,,,,,,,
4106,,14227-21,MYL6B,Myosin light chain 6B,P14649,MYL6B,,,,,,,,,,,,,,,,
4107,,20078-6,MYL6B,Myosin light chain 6B,P14649,MYL6B,,,,,,,,,,,,,,,,
4108,,20107-11,MYL4,Myosin light polypeptide 4,P12829,MYL4,X,,,,,,,,,,,,,,,
4109,,20105-7,Myosin light polypeptide 6,Myosin light polypeptide 6,P60660,MYL6,,,,,,,,,,,,,,,,
4110,,19373-3,MLRM,Myosin regulatory light chain 12A,P19105,MYL12A,,,,,,,,,,,,,,,,
4111,,19122-47,ML12B,Myosin regulatory light chain 12B,O14950,MYL12B,,,,,,,,,,,,,,,,
4112,,19296-51,MLRA,"Myosin regulatory light chain 2, atrial isoform",Q01449,MYL7,X,,,,,,,,,,,,,,,
4113,,21112-6,MLRS,"Myosin regulatory light chain 2, skeletal muscle isoform",Q96A32,MYLPF,,,,,,,,,,,,,,,,
4114,,21817-5,MYL9,"Myosin, light chain 9, regulatory",P24844,MYL9,X,,,,,,,,,,,,,,,
4115,,21579-35,MYPC3,"Myosin-binding protein C, cardiac-type",Q14896,MYBPC3,X,,,,,,,,,,,,,,,
4116,,25096-58,MYPC2,"Myosin-binding protein C, fast-type",Q14324,MYBPC2,,,,,,,,,,,,,,,,
4117,,7648-9,MYPC1,"Myosin-binding protein C, slow-type",Q00872,MYBPC1,,,,,,,,,,X,,,X,,X,
4118,,25065-22,MYBPH,Myosin-binding protein H,Q13203,MYBPH,,,,,,,,,,,,,,,,
4119,,11167-6,MTMR1,Myotubularin-related protein 1,Q13613,MTMR1,,,,,,,,,,,,,,,,
4120,,12536-46,MTMR6,Myotubularin-related protein 6,Q9Y217,MTMR6,,,,,,,,,,,,,,,,
4121,,24493-10,MTMR7,Myotubularin-related protein 7,Q9Y216,MTMR7,,,,,,,,,,,,,,,,
4122,,10435-2,ASPG,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,P20933,AGA,,,X,,,,,,,,,,,,,
4123,,19392-6,DDAH1,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",O94760,DDAH1,,,,,,,,,,,,,,,,
4124,,24956-1,MTA70,N6-adenosine-methyltransferase 70 kDa subunit,Q86U44,METTL3,,,,,,,,,,,,,,,,
4125,,16852-10,NHRF3,Na(+)/H(+) exchange regulatory cofactor NHE-RF3,Q5T2W1,PDZK1,,,,X,,,,,,,,,,,,
4126,,7986-98,NALD2,N-acetylated-alpha-linked acidic dipeptidase 2,Q9Y3Q0,NAALAD2,,,,,,,,,,,,,,,,
4127,,17505-125,NALDL,N-acetylated-alpha-linked acidic dipeptidase-like protein,Q9UQQ1,NAALADL1,,,,,,,,,,,,,,,,
4128,,3894-15,NAGK,N-acetyl-D-glucosamine kinase,Q9UJ70,NAGK,,,,,,,,,,X,,,X,,X,
4129,,23631-1,GALK2,N-acetylgalactosamine kinase,Q01415,GALK2,,,,,,,,,,,,,,,,
4130,,21724-22,GALNS,N-acetylgalactosamine-6-sulfatase,P34059,GALNS,,,X,,,,,,,,,,,,,
4131,,11208-15,NAGPA,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,Q9UK23,NAGPA,,,,,,,,,,,,,,,,
4132,,10666-7,GNPTG,N-acetylglucosamine-1-phosphotransferase subunit gamma,Q9UJJ9,GNPTG,,,X,,,,,,,,,,,,,
4133,,3616-3,GNS,N-acetylglucosamine-6-sulfatase,P15586,GNS,,,,,,,,,,X,,,X,,X,
4134,,8314-71,GNS,N-acetylglucosamine-6-sulfatase,P15586,GNS,,,X,,,,,,,X,,,X,,X,
4135,,11247-20,NAGS,"N-acetylglutamate synthase, mitochondrial",Q8N159,NAGS,,,X,,,,,,,,,,,,,
